SP ID	Academies
1002	French Academy
1007	Académie des sciences
1009	Académie des sciences
1018	French Academy
1019	Royal Society
1019	Académie des sciences
1019	French Academy
1019	Berlin Academy
1019	St Petersburg Academy
1019	Royal Swedish Academy
1023	French Academy
1024	French Academy
1024	Académie des sciences
1024	Academy of Inscriptions
1024	Royal Society
1024	Academy of Stanislas
1024	Academy of Rouen
1025	French Academy
1025	Academy of Lyon
1026	French Academy
1026	Royal Society
1026	Académie des sciences
1026	Royal_Society_Edinburgh
1026	Academy of Stanislas
1026	Académie d'agriculture
1026	Academy of Dijon
1029	Academy of Stanislas
1030	French Academy
1030	Académie des sciences
1030	Academy of Stanislas
1030	Académie lorraine des sciences
1030	Royal Society
1031	French Academy
1031	Academy of Inscriptions
1033	Academy of Béziers
1035	Société royale des Sciences de Montpellier
1036	Royal Society
1036	Société royale des Sciences de Montpellier
1038	Valence
1038	Montpellier
1038	Lyon
1040	Société royale des Sciences de Montpellier
1041	Académie royale de la Marine;Royal Society
1042	Académie royale d'architecture
1043	Académie des sciences
1044	Academy of Inscriptions
1044	Academy of Dijon
1044	Académie des sciences
1044	lettres et arts d'Arras
1044	Société des observateurs de l'homme
1045	Academy of Rouen
1046	Académie des sciences
1046	Academy of Dijon
1047	Académie des sciences
1047	Société de médecine de Montpellier
1048	Académie des sciences
1048	Academy of Béziers
1049	Lyon
1049	Villefranche et Berne
1053	Académie des sciences
1053	Royal Society
1053	Académie d'agriculture de France
1053	Athénée de Paris
1053	Société philomathique de Paris
1058	Academy of Stanislas
1058	Société royale des Sciences et Belles-Lettres de Nancy
1062	Académie des sciences
1062	Société royale des sciences de Montpellier
1065	Académie of Dijon
1067	Berlin Academy
1069	Royal Society
1069	Academy of Rouen
1069	Academy of Dijon
1070	Société littéraire de Châlons-sur-Marne
1074	Académie des sciences
1074	Royal Society
1076	Académie des sciences
1076	Royal Society
1076	Société royale de Médecine de Paris
1078	Académie royale de chirurgie
1083	Société littéraire de Châlons-sur-Marne
1086	Academy of Lyon
1088	Académie des sciences
1088	Royal Society
1088	Académie royale de chirurgie
1089	Académie des sciences
1092	Société académique des Arts
1096	Académie des sciences
1098	Société d'Agriculture de Commerce et des Arts de Bretagne
1102	Société scientifique et littéraire d'Alais
1102	Société royale des sciences de Montpellier
1103	Académie des sciences
1107	Société royale des sciences de Montpellier
1111	Academy of Lyon
1111	Société d'agriculture de Lyon
1115	Académie des sciences
1115	Royal Society
1116	Académie des sciences
1116	Academy of Stanislas
1116	French Academy
1116	Royal Society
1117	Académie des sciences
1117	Académie royale d’architecture
1117	Académie d'agriculture de France
1117	Royal Swedish Academy of Sciences
1117	Royal Society
1119	Academy of Inscriptions
1119	Academy of Dijon
1120	Académie des sciences
1120	Académie d'agriculture de France
1120	Berlin Academy
1121	Acadey of Rouen
1121	Academy of Nancy
1121	Academy of Amiens
1121	Academy of Angers
1123	Berlin Academy
1124	Académie des beaux-arts
1124	Académie royale de peinture et de sculpture
1125	French Academy
1126	Academy of Inscriptions
1126	Academy of Troyes
1126	Société royale de Nancy
1126	Royal Society
1127	Berlin Academy
1128	Academy of La Rochelle
1131	Academy of Montpellier
1131	Société royale des sciences de Montpellier
1131	Société libre des Sciences et Belles-Lettres de Montpellier
