SP ID	Aristo title
1017	duc
1026	comte
1029	marquise
1030	comte
1030	marquis
1077	marquis
1090	comte
1090	prince
1101	chevalier
1119	baron
1122	baron
1140	marquis
1152	chevalier
1155	baron
1158	baron
1159	baron
1161	marquis
1162	comtesse
1164	marquise
1165	baron
1171	comtesse
1174	marquise
1181	comte
1183	marquis
1185	comte
1192	princesse
1204	comte
1208	comte
1210	comtesse
1211	prince
1211	king
1212	prince
1215	comte
1216	baron
1217	comtesse
1223	duke
1224	viscountess
1224	lady
1225	viscount
1225	earl
1232	duc
1237	prince
1241	prince
1243	duchesse
1254	princesse
1262	marquis
1266	comte
1268	princesse
1271	vicomte
1271	marquis
1272	prince
1273	comte
1278	count
1287	duchesse
1289	comte
1292	comtesse
1294	duchesse
1295	marquis
1314	baron
1316	baronne
1319	marquis
1320	marquise
1323	comte
1324	marquis
1336	earl
1340	marquis
1344	marquis
1347	comtesse
1349	marquis
1350	marquis
1353	comte
1356	comte
1362	marquis
1365	marquise
1366	baronne
1368	comte
1369	duc
1370	marquis
1376	baronne
1377	marquise
1378	comtesse
1380	baronne
1383	comtesse
1384	duchesse
1384	marchale
1386	marquise
1388	comtesse
1389	duchesse
1390	duchesse
1402	marquis
1413	marquis
1414	marquis
1415	duc
1416	marquis
1417	marquis
1418	duc
1419	comte
1420	duc
1420	marquis
1422	marquis
1426	marquis
1427	duchesse
1428	duc
1430	comtesse
1432	comte
1435	marquess
1436	comte
1437	vicomte
1438	marquise
1440	chevalier
1441	comte
1442	comte
1443	marquis
1444	marquess
1445	baron
1449	duc
1450	comte
1456	duchesse de Luynes
1460	comte
1466	duchesse
1470	vicomtesse
1471	comtesse
1472	baronne
1478	duc
1479	comte
1480	marquise
1481	duc
1483	comte
1484	duc
1487	comte
1488	comte
1497	comte
1498	marquis
1499	marquise
1500	comte
1502	princesse
1504	chevalier
1505	marquis
1506	marquis
1508	marquis
1509	marquis
1510	archevque
1511	baron
1511	marquis
1515	princesse
1515	dame
1517	duc
1518	marquis
1522	comtesse
1533	marquise
1534	marquise
1535	duchesse
1537	comtesse
1538	comtesse
1539	marquise
1565	baron
1569	marquise
1575	marquis
1577	duchesse
1582	baron
1583	lord
1588	vicomte
1589	duc
1591	comte
1591	baron
1603	duc
1605	marquis
1608	comte
1611	comte
1616	prince
1618	baron
1619	baron
1620	prince
1622	princess
1623	baronne
1630	duke
1635	comte
1640	comtesse
1641	marquise
1642	chevalier
1643	comte
1645	earl
1646	chevalier
1646	Sir
1647	comte
1650	marquis
1654	comte
1659	comte
1660	seigneur
1667	marquis
1671	duc
1673	comtesse
1674	comte
1675	comtesse
1688	baron
1691	marquis
1699	duchesse
1700	duchesse
1702	vicomte
1702	duc
1703	vicomtesse
1704	marquise
1706	baronne
1707	marchal
1709	prince
1711	comtesse
1712	marchale
1715	duc
1716	comtesse
1719	marquise
1722	duchesse
1723	princesse
1726	marquise
1727	baronne
1727	comtesse
1729	duchesse
1730	duchesse
1731	chevalier
1732	duc
1733	baronne
1734	marquise
1735	comtesse
1736	marquise
1737	comtesse
1738	princesse
1739	comtesse
1740	comtesse
1741	comtesse
1742	duchesse
1743	princesse
1744	marquise
1745	marquise
1746	marquise
1747	comtesse
1748	comtesse
1749	comtesse
1750	comte
1751	comtesse
1752	comtesse
1767	baron
1770	Sir
1771	marquis
1774	margrave
1775	prince
1776	comte
1780	duchesse
1781	comte 
