SP ID	EgoNetworksCombined
1000	Arnould
1001	Voltaire
1001	Arnould
1002	Voltaire
1002	Rousseau
1002	Arnould
1003	Voltaire
1003	Arnould
1004	Voltaire
1004	D'Alembert
1004	Hume
1004	Voltaire
1004	Arnould
1004	Epinay
1004	Quinault
1004	Dupin
1004	Boufflers
1004	Necker
1004	Holbach
1004	Encyclopedistes
1005	Voltaire
1005	Arnould
1006	Arnould
1007	Voltaire
1007	Geoffrin
1008	Boufflers
1009	Lambert
1010	Deffand
1011	Lespinasse
1011	Deffand
1012	Deffand
1013	Deffand
1014	Deffand
1015	D'Alembert
1015	Deffand
1015	Lespinasse
1015	Geoffrin
1016	Dupin
1017	Voltaire
1017	Dupin
1018	Voltaire
1018	Lambert
1018	Dupin
1019	Voltaire
1019	D'Alembert
1020	Dupin
1021	Dupin
1022	Voltaire
1022	Dupin
1022	Bolingbroke
1022	Entresol
1022	Tencin
1023	Voltaire
1023	Dupin
1023	Graffigny
1023	Quinault
1023	Epinay
1024	Voltaire
1024	Dupin
1024	Graffigny
1024	Tencin
1024	Geoffrin
1024	Deffand
1025	Voltaire
1025	Rousseau
1025	Dupin
1025	Lespinasse
1025	Geoffrin
1025	Holbach
1026	Voltaire
1026	Rousseau
1026	Encyclopedistes
1026	Dupin
1026	Necker
1026	Lespinasse
1026	Holbach
1027	Voltaire
1027	Dupin
1027	Tencin
1028	Voltaire
1028	Rousseau
1028	Dupin
1028	Tencin
1029	Voltaire
1029	Deffand
1029	Dupin
1029	Tencin
1029	Chatelet
1030	Voltaire
1030	Rousseau
1030	Encyclopedistes
1031	Voltaire
1031	Encyclopedistes
1031	Dupin
1031	Tencin
1031	Geoffrin
1032	Rousseau
1032	Dupin
1032	Tencin
1032	Necker
1032	Lespinasse
1033	Encyclopedistes
1034	Encyclopedistes
1035	Encyclopedistes
1036	Encyclopedistes
1037	Encyclopedistes
1038	Encyclopedistes
1039	Encyclopedistes
1040	Encyclopedistes
1041	Encyclopedistes
1042	Encyclopedistes
1042	Geoffrin
1043	Encyclopedistes
1044	Encyclopedistes
1045	Encyclopedistes
1046	Encyclopedistes
1047	Encyclopedistes
1048	Encyclopedistes
1049	Encyclopedistes
1050	Encyclopedistes
1051	Encyclopedistes
1052	Encyclopedistes
1053	Encyclopedistes
1054	Encyclopedistes
1055	Encyclopedistes
1056	Encyclopedistes
1057	Encyclopedistes
1058	Encyclopedistes
1059	Encyclopedistes
1060	Encyclopedistes
1061	Encyclopedistes
1062	Encyclopedistes
1063	Encyclopedistes
1064	Encyclopedistes
1065	Encyclopedistes
1066	Encyclopedistes
1067	Encyclopedistes
1068	Encyclopedistes
1069	Encyclopedistes
1070	Encyclopedistes
1071	Encyclopedistes
1072	Encyclopedistes
1073	Encyclopedistes
1074	Encyclopedistes
1075	Encyclopedistes
1076	Encyclopedistes
1077	Encyclopedistes
1078	Encyclopedistes
1079	Encyclopedistes
1080	Encyclopedistes
1081	Encyclopedistes
1082	Encyclopedistes
1083	Encyclopedistes
1084	Encyclopedistes
1085	Encyclopedistes
1086	Encyclopedistes
1087	Encyclopedistes
1088	Encyclopedistes
1089	Encyclopedistes
1089	Stael
1090	Encyclopedistes
1091	Encyclopedistes
1092	Encyclopedistes
