SP ID	Wikipedia URL	EE ID	Full Name	Full Name Reversed	Particule?	Relationships	Clerical title	Religious Network	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Encyclopedistes	Freemason	Jacobin	Société des Trente	Lodge	GenderGroup	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet	Column6	Wikipedia Image Link	VIAF ID	VIAF URL	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID

1000	http://en.wikipedia.org/wiki/Pierre_Beaumarchais	caronpierr000543	Pierre Augustin Caron de Beaumarchais	"Caron de Beaumarchais, Pierre Augustin"	Yes													Male	1/24/1732	1732	5/18/1799	1799	Paris	France	Paris	France	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/a/ae/D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg/250px-D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg	29529962	http://viaf.org/29529962	0	0	0	

1001	http://en.wikipedia.org/wiki/Claude_Joseph_Dorat	doratclaud001336	Claude Joseph Dorat	"Dorat, Claude Joseph"														Male	12/31/1734	1734	4/29/1780	1780	Paris	France		unknown	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg/115px-Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg	46760144	http://viaf.org/46760144	8	4	12	

1002	http://en.wikipedia.org/wiki/Claude-Carloman_de_Rulhière	rulhiclaud001189	Claude Carloman de Rulhière	"Rulhière, Claude Carloman de"	Yes				Yes		Yes							Male	6/12/1735	1735	1/30/1791	1791		France		unknown	 	 	Voltaire	Rousseau	 	 	 			59160459	http://viaf.org/59160459	2	3	5	

1003	http://en.wikipedia.org/wiki/Simon-Nicholas_Henri_Linguet	lingusimon002350	Simon Nicolas Henri Linguet	"Linguet, Simon Nicolas Henri"														Male	7/14/1736	1736	6/27/1794	1794	Reims	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/2/29/Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg/220px-Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg	7393445	http://viaf.org/7393445	4	4	8	Linguet

1004	http://en.wikipedia.org/wiki/Jean-Jacques_Rousseau	roussjeanj003042	Jean-Jacques Rousseau	"Rousseau, Jean Jacques"									Yes					Male	-68485	1712	7/2/1778	1778	Geneva	Switzerland	Ermenonville	France	 	 	Voltaire	 	D'Alembert	Hume	 		upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Jean-Jacques_Rousseau_%28painted_portrait%29.jpg/220px-Jean-Jacques_Rousseau_%28painted_portrait%29.jpg	100184045	http://viaf.org/100184045	2455	2284	4739	Rousseau J.-J.

1005	http://en.wikipedia.org/wiki/Louis_Petit_de_Bachaumont	petitlouis001155	Louis Petit de Bachaumont	"Petit de Bachaumont, Louis"	Yes													Male	6/2/1690	1690	4/29/1771	1771	Paris	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bachaumont.jpg/220px-Bachaumont.jpg	29558790	http://viaf.org/29558790	1	0	1	

1006	http://en.wikipedia.org/wiki/Christoph_Willibald_Gluck	gluckchris024379	Christoph Willibald von Gluck	"Gluck, Christoph Willibald von"														Male	7/2/1714	1714	11/15/1787	1787	Erasbach	Germany	Vienna	Austria	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/8/80/Joseph-Sifr%C3%A8de_Duplessis_001.jpg/220px-Joseph-Sifr%C3%A8de_Duplessis_001.jpg	37101876	http://viaf.org/37101876	0	0	0	

1007	http://en.wikipedia.org/wiki/Henri_François_d'Aguesseau	daguehenri000832	Henri François D'Aguesseau	"D'Aguesseau, Henri François"					Yes		Yes							Male	11/27/1668	1668	2/5/1751	1751	Limoges	France	Paris	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/7/7e/Henri_Fran%C3%A7ois_d%27Aguesseau.jpg	73848894	http://viaf.org/73848894	2	4	6	

1008	http://en.wikipedia.org/wiki/Marie_Anne_de_Bourbon		Marie Anne de Bourbon	"Bourbon, Marie Anne de"	Yes													Female	1666-10-02		1739-05-03	1739	Château de Vincennes	France	Paris	France															

1009	http://en.wikipedia.org/wiki/index.html?curid=16372248		Johann Samuel König	"König, Johann Samuel "					Yes		Yes							Male	1712-07-31	1712	1757-08-21	1757	Büdingen	Germany												66494565	https://viaf.org/viaf/66494565/				

1010			Marie Anne Harenc	"Harenc, Mme Marie Anne"														Female																							

1011	http://fr.wikipedia.org/wiki/Gaston_Pierre_de_Lévis-Mirepoix		Monsieur de Mirepoix (Gaston Pierre de Lévis-Mirepoix)	"Mirepoix, Gaston Pierre de Lévis-Mirepoix (Monsieur de Mirepoix)"	Yes													Male	12/2/1699	1699	9/24/1757	1757	Belleville	France	Montpellier	France															

1012	"http://en.wikipedia.org/wiki/Nicholas_Taaffe,_6th_Viscount_Taaffe"		Lord Taaffe - Are we sure Lord Taaffe is Nicolas Taaffe?	"Taaffe, Lord"														Male																							

1013			François de Crussol d'Uzès d'Amboise	"d'Usés d'Ambroise, François de Crussol "	Yes		archevêque	Catholic_High-ranking officials										Male																							

1014	http://en.wikipedia.org/wiki/Pierre_Simon_Fournier		Pierre Simon Fournier	"Fournier, Pierre Simon"														Male	1712-09-15	1712	1768-10-08	1768	Paris	France												44406033	https://viaf.org/viaf/44406033/				

1015	http://en.wikipedia.org/wiki/Jeanne_Julie_Éléonore_de_Lespinasse	lespijeann001102	Jeanne Julie Éléonore de Lespinasse	"Lespinasse, Jeanne Julie Éléonore de"	Yes													Female	11/9/1732	1732	5/23/1776	1776	Lyons	France	Paris	France	 	 	 	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/8/86/Julie_de_Lespinasse.jpg	4932664	http://viaf.org/4932664	3	8	11	Lespinasse

1016		hervecarol005424	Lady Caroline Hervey	"Hervey, Lady Caroline"														Female	1736-00-00	1736	1819-00-00	1819		England		unknown	 	 	 	 	 	 	 					1	0	1	

1017	"http://en.wikipedia.org/wiki/Philippe_II,_Duke_of_Orléans"	philippeii002818	"Philippe II, duc d'Orléans"	"Philippe II, duc d'Orléans"	Yes													Male	8/2/1674	1674	12/23/1723	1723		France		unknown	 	 	Voltaire	 	 	 	 			71395774	http://viaf.org/71395774	1	2	3	

1018	http://en.wikipedia.org/wiki/Pierre-Joseph_Thoulier_d'Olivet	thoulpierr003318	Pierre Joseph Thoulier d'Olivet	"Thoulier d'Olivet, Pierre Joseph"	Yes		abbé	Catholic_Clergy	Yes		Yes							Male	4/1/1682	1682	10/8/1768	1768	Salins-les-Bains	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/c/c2/L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg/220px-L%27abb%C3%A9_d%27Olivet_after_Carle_van_Loo.jpg	99337414	http://viaf.org/99337414	54	20	74	

1019	http://en.wikipedia.org/wiki/Pierre_Louis_Maupertuis	maupepierr001126	Pierre Louis Moreau de Maupertuis	"Maupertuis, Pierre Louis Moreau de"	Yes				Yes									Male	7/17/1698	1698	7/27/1759	1759	Saint-Malo	France	Basle	Switzerland	 	 	Voltaire	 	D'Alembert	 	 		upload.wikimedia.org/wikipedia/commons/2/20/PierreLouisMaupertuis.jpg	95152459	http://viaf.org/95152459	148	12	160	Maupertuis

1020	http://en.wikipedia.org/wiki/Mary_Hervey	hervemary0004630	"Mary Hervey, Baroness Hervey"	"Hervey, Mary, Baroness Hervey"														Female	9/26/1700	1700	9/2/1768	1768		England		unknown	 	 	 	 	 	 	 					0	4	4	

1021	http://en.wikipedia.org/wiki/George_Berkeley	berkegeorg000261	"George Berkeley, bishop of Cloyne"	"Berkeley, George, bishop of Cloyne"				Clergy										Male	3/12/1685	1685	1/14/1753	1753	near Dysert Castle	Ireland	Oxford	England	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/5/5d/John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg/220px-John_Smibert_-_Bishop_George_Berkeley_-_Google_Art_Project.jpg	100192823	http://viaf.org/100192823	1	3	4	

1022	"http://en.wikipedia.org/wiki/Henry_St_John,_1st_Viscount_Bolingbroke"	stjohhenry003215	"Henry St John, 1st Viscount Bolingbroke"	"St John, Henry, 1st Viscount Bolingbroke"														Male	9/16/1678	1678	12/12/1751	1751	Wiltshire	England	London	England	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/e/ed/1stViscountBolingbroke.jpg/250px-1stViscountBolingbroke.jpg	61539796	http://viaf.org/61539796	18	52	70	

