SP ID	Nationality
1000	French
1001	French
1002	French
1003	French
1004	Swiss
1005	French
1006	German
1007	French
1008	French
1009	German
1010	French
1011	French
1012	Irish?
1013	French
1014	French
1015	French
1016	English
1017	French
1018	French
1019	French
1020	English
1021	Irish
1022	English
1023	French
1024	French
1025	French
1026	French
1027	French
1028	French
1029	French
1030	French
1031	French
1032	French
1033	French
1034	French
1035	French
1036	French
1037	French
1038	French
1039	French
1040	French
1041	French
1042	French
1043	French
1044	French
1045	French
1046	French
1047	French
1048	French
1049	French
1050	French
1051	French
1052	French
1053	French
1054	French
1055	French
1056	French
1057	French
1058	French
1059	French
1060	French
1061	French
1062	French
1063	French
1064	French
1065	French
1066	French
1067	Polish
1067	French
1068	French
1069	French
1070	French
1071	French
1072	French
1073	French
1074	French
1075	French
1076	French
1077	French
1078	French
1079	French
1080	French
1081	French
1082	French
1083	French
1084	French
1085	French
1086	French
1087	French
1088	French
1089	Swiss
1090	Polish
1091	French
1092	French
1093	French
1094	French
1095	French
1096	French
1097	French
1098	French
1099	French
1100	Swiss
1101	French
1102	French
1103	Swiss
1104	French
1105	French
1106	French
1107	French
1108	French
1109	French
1110	French
1111	French
1112	French
1113	French
1114	French
1115	French
1116	French
1117	French
1118	French
1119	French
1120	French
1121	French
1122	French
1123	French
1124	French
1125	French
1126	French
1127	French
1128	French
1129	French
1130	French
1131	French
1132	French
1133	French
1134	French
1135	French
1136	French
1137	French
1138	French
1139	French
1140	French
1141	French
1142	German
1143	Swiss
1144	Swiss
1145	Swiss
1146	Swiss
1147	Swiss
1148	Portuguese
1150	French
1151	French
1152	French
1153	French
1154	French
1155	French
1156	French
1157	French
1158	German
1159	German
1160	French
1161	French
1162	French
1163	French
1164	French
1165	French
1166	Scottish
1167	French
1168	French
1169	Scottish
1170	French
1171	French
1173	French
1174	French
1175	French
1176	French
1177	French
1178	French
1179	French
1180	French
1181	French
1182	French
1183	French
1184	French
1185	French
1186	French
1187	French
1188	French
1189	French
1190	German
1191	French
1192	French
1193	French
1194	French
1195	French
1196	French
1197	French
1198	French
1199	French
1200	French
1201	French
1202	French
1203	French
1204	French
1205	French
1206	English
1207	English
1208	Swedish
1209	Swedish
1210	French
1211	Swedish
1212	Swedish
1213	French
1214	French
1215	French
1216	Swiss
1217	French
1218	Italian
1219	Italian
1220	French
1221	French
1222	French
1223	English
1224	Scottish
1225	Scottish
1226	Italian
1227	English
1228	French
1229	French
1230	French
1231	French
1232	French
1233	French
1234	French
1235	French
1236	French
1237	Polish
1238	French
1239	French
1240	French
1241	Polish
1242	French
1243	French
1244	French
1245	French
1246	Polish
1247	French
1248	French
1250	French
1251	French
1252	French
1253	French
1254	Polish
1255	French
1256	French
1257	French
1258	French
1259	French
1261	French
1262	Italian
1263	French
1264	French
1265	Polish
1266	French
1267	French
1268	Polish
1269	French
1270	French
1271	French
1272	Polish
1273	Polish
1274	French
1275	French
1276	French
1277	French
1278	Italian
1279	French
1280	French
1281	French
1282	French
1283	French
1284	French
1285	French
1286	Polish
1287	French
1288	French
1289	French
1290	French
1291	French
1292	French
1293	French
1294	French
1295	French
1296	Italian
1297	French
1298	French
1299	French
1300	French
1301	French
1302	French
1303	French
1304	French
1305	French
1306	French
1307	French
1308	French
1309	French
1310	Irish
1311	French
1312	French
1313	French
1314	French
1315	French
1316	French
1317	French
1318	French
1319	French
1320	French
1321	French
1322	French
1323	French
1324	French
1325	French
