SP ID	Occupation
1000	playwright
1000	government agent
1001	poet
1001	author
1001	playwright
1002	army officer
1002	diplomat
1002	soldier
1002	academy member
1002	author
1003	journalist
1003	revolutionary
1004	author
1004	philosopher
1005	author
1006	composer
1007	statesman
1008	aristocrat
1010	wife
1011	aristocrat
1012	aristocrat
1013	archevêque
1015	salon hostess
1016	aristocrat
1017	aristocrat
1017	regent
1018	academy member
1018	grammarian
1019	academy member
1019	scientist
1019	astronomer
1019	mathematician
1019	biologist
1020	courtier
1020	aristocrat
1021	churchman
1021	philosopher
1022	diplomat
1022	politician
1022	author
1023	academy member
1023	churchman
1024	academy member
1024	poet
1024	author
1024	philosopher
1025	philosopher
1026	academy member
1026	scientist
1026	author
1026	naturalist
1027	journalist
1027	author
1027	novelist
1028	financier's wife
1029	scientist
1029	aristocrat
1030	general
1030	army officer
1030	soldier
1030	scholar
1030	academy member
1031	diplomat
1031	government minister
1032	author
1032	political writer
1033	writer
1033	judge
1033	academy member
1034	writer
1035	business man
1035	jurist
1035	politician
1036	man of letters
1036	judge
1037	writer
1038	doctor
1038	professor
1039	officer
1040	engineer
1041	geographer
1041	functionary
1042	architect
1042	man of letters
1042	engraver
1042	professor
1043	scholar
1043	physician
1044	homme de lettres
1044	lawyer
1044	professor
1045	jurist
1045	lawyer
1046	maîtres de forges
1047	physician
1047	professor
1048	physician
1048	professor
1049	pensionnaire royal
1050	printing shop foreman
1051	commissaire des guerres
1051	lawyer
1052	curé
1053	scholar
1053	professor
1053	government counselor
1054	arborist
1054	municipal functionary
1054	government fucntionary
1054	farmer
1055	bookseller
1056	professor
1056	lawyer
1057	encyclopedist
1058	writer
1058	local functionary
1059	translator
1060	writer
1060	merchant
1060	functionary
1061	writer
1061	economist
1061	business man
1061	royal functionary
1062	doctor
1062	professor
1063	blacksmith
1064	technician
1064	artist
1065	scholar
1065	writer
1065	rural property owner
1066	police officer
1067	officer
1067	courtier
1068	encyclopedist
1069	mathematician
1069	teacher
1070	lawyer
1070	provincial functionary
1071	writer
1071	lawyer
1072	teacher
1072	tutor
1072	author
1073	tutor
1074	physician
1074	courtier
1074	teacher
1074	scholar
1075	engineer
1075	encyclopedist
1076	physician
1076	professor
1076	scholar
1077	writer
1077	officer
1077	farmer
1077	politician
1078	surgeon
1079	artist
1079	technician
1079	architect
1080	goldsmith
1081	priest
1081	writer
1081	tutor
1081	professor
1082	physician
1082	professor
1083	priest
1084	encyclopedist
1085	maître d'hôtel
1085	ceramist
1086	financier
1086	royal functionary
1086	writer
1087	officer
1088	surgeon
1088	scholar
1088	professor
1089	professor
1089	business man
1090	aristocrat
1091	expert on writing and calligraphy
1091	poet
1092	engraver
1093	specialist on educational administration
1094	physician
1095	priest
1095	tutor
1096	physician
1096	professor
1097	priest
1098	judge
1099	geographer
1100	clockmaker
1100	bookseller
1100	editor
1101	encyclopedist
1102	scholar
1102	professor
1102	priest
1103	artist
1103	engraver
1103	school administrator
1103	architect
1104	scholar
1104	probably a physician
1105	encyclopedist
1106	physician
1107	scholar
1107	physician
1107	professor
1108	physician
1108	writer
1109	huntsman
1110	engineer
1111	physician
1111	professor
1112	priest
1112	writer
1113	historian
1113	author
1113	geographer
1113	philosopher
1114	philosopher
1114	grammarian
1114	lawyer
1115	economist
1115	surgeon
1116	scientist
1116	physicist
1116	mathematician
1116	explorer
1117	academy member
1117	civil engineer
1118	bookseller
1118	printer
1119	scholar
1119	magistrate
1120	veterinarian
1121	academic
1121	college principal
1121	poet
1121	author
1121	financier
1122	scholar
1122	aristocrat
1123	writer
1123	professor
1123	journalist
1123	translator
1124	artist
1124	sculptor
1125	academy member
1125	translator
1125	grammarian
1125	professor
1126	author
1126	travel writer
1127	theologian
1128	politician
1128	revolutionary
1128	philosopher
1129	playwright
1130	civil engineer
1130	man of letters
1130	scholar
1131	aristocrat
1131	scholar
1131	judge
1132	physician
1132	doctor
1132	journalist
1133	geologist
1133	encyclopedist
1133	scholar
1134	local functionary
1134	government official
1134	writer
1135	political economist
1135	law reformer
1136	dramatist
1136	functionary
1137	physician
1137	doctor
1137	author
1137	medical writer
1138	scholar
1138	university professor
1138	chancellor
1138	judge
1139	soldier
1139	academy member
1139	author
1140	courtier
1140	writer
1140	officer
1141	printer
1141	bookseller
1142	academy member
1142	clergy
1142	author
1143	theologian
1143	clergy
1144	physician
1144	scientist
1144	mathematician
1145	academy member
1145	clockmaker
1146	scholar
1146	university professor
1146	academic
1147	clergy
1147	author
1148	physician
1148	writer
1150	academy member
1150	historian
1151	lawyer
1151	civil servant
1152	physician
1152	doctor
1152	scientist
1152	author
1152	encyclopedist
1153	scientist
1153	geographer
1153	cartographer
1154	academy member
1154	philosopher
1154	mathematician
1155	statesman
1155	economist
1156	court official
1156	writer
1157	courtier
1157	author
1158	diplomat
1158	author
1158	critic
1159	aristocrat
1159	author
1159	amateur scientist
1160	academy member
1160	author
1160	censor
1161	diplomat
1161	government minister
1162	aristocrat
1163	army officer
1163	soldier
1164	aristocrat
1164	author
1164	salon hostess
1165	academy member
1165	magistrate
1165	philosopher
1166	Jacobite
1166	philosopher
1167	academy member
1167	political reformer
1168	academy member
1168	poet
1168	author
1168	playwright
1169	diplomat
1169	politician
1170	aristocrat
1171	aristocrat
1171	poet
1171	author
1171	salon hostess
1173	scientist
1173	chemist
1173	financier
1173	musician
1174	author
1174	salon hostess
1176	musician
1176	writer
1176	adopted son of Genlis
1177	musician
1177	adopted son of Genlis
1181	politician
1183	politician
1183	poet
1183	academy member
1185	aristocrat
1185	soldier
1185	aide-de-camp to Napoleon
1185	chevalier d'honneur de la Reine des Français
1186	clergy
1186	journalist
1186	man of letters
1188	writer
1188	society woman
1188	amateur actress
1189	Créole
1189	wife
1190	aristocrat
1191	aristocrat
1192	aristocrat
1193	actress
1194	socialite
1194	later Princesse de Chimay
1195	wife
1195	later comtesse de Montholon
1196	writer
1197	niece of Beaumarchais
1197	composer
1198	poet
1199	writer
1200	writer
1201	translator of novels
1202	politician
1203	poet
1204	poet
1205	memoirist
1206	poet
1206	author
1207	historian
1208	diplomat
1208	prime minister
1208	poet
1208	author
1209	diplomat
1209	military personnel
1209	academy member
1209	member of the Riksdag
1210	aristocrat
1210	salon hostess
1211	king
1212	prince
1212	duc
1213	salonnière
1214	author
1214	archaeologist
1216	captain
1217	aristocrat
1217	wife
1218	composer
1219	composer
1220	singer
1221	musician
1222	general
1222	army officer
1222	soldier
1222	aristocrat
1222	government minister
1223	politician
1223	member of Parliament
1224	aristocrat
1224	wife
1225	ambassador
1225	aristocrat
1226	actress
1226	daughter
1226	mistress
1226	wife
1227	aristocrat
1228	scientist
1228	chemist
1228	civil servant
1229	salonnière
1230	historian
1230	author
1230	encyclopedist
1231	academy member
1231	painter
1231	artist
1232	general
1232	army officer
1232	diplomat
1232	statesman
1232	soldier
1232	aristocrat
1233	maréchal
1234	aristocrat
1235	artist
1235	painter
1235	academy director
1236	receveur général des finances
1237	aristocrat
1238	artist
1238	painter
1239	ambassador
1240	aristocrat
1241	royalty
1242	maurist clergy
1242	erudite
1243	aristocrat
1244	aristocrat
1245	clergy
1246	aristocrat
1247	painter
1247	student of Boucher
1248	painter
1248	academy member
1249	artist
1249	page
1250	painter
1250	aristocrat
1250	salonnière
1251	painter
1251	disciple of Carle Van Loo
1252	clockmaker
1253	astronomer
1253	scientist
1254	Stanislas' mistress
1255	mistress
1256	wife
1257	brother of Pompadour
1257	courtier
1258	maréchal
1259	botanist
