SP ID	Social Network
1000	Government
1000	Elite
1000	Court
1001	Military
1001	Aristoracy
1001	Elite
1002	Military
1002	Government
1002	Aristoracy
1002	Elite
1003	Elite
1004	Elite
1005	Nobility
1005	Elite
1006	Nobility
1006	Elite
1007	Elite
1007	Government
1007	Nobility
1008	Nobility
1008	Elite
1008	Court
1009	Elite
1010	Elite
1011	Nobility
1011	Military
1011	Elite
1012	Nobility
1012	Elite
1012	Military
1012	Court
1013	Nobility
1013	Elite
1014	Elite
1015	Elite
1016	Nobility
1016	Elite
1016	Court
1017	Nobility
1017	Government
1017	Military
1017	Elite
1018	Nobility
1018	Elite
1019	Elite
1020	Nobility
1020	Court
1020	Elite
1021	Elite
1022	Government
1022	Nobility
1022	Elite
1023	Elite
1023	Nobility
1024	Elite
1024	Nobility
1026	Nobility
1026	Elite
1026	Government
1027	Elite
1028	Elite
1029	Elite
1029	Nobility
1030	Military
1030	Court
1030	Nobility
1030	Elite
1031	Elite
1031	Government
1031	Nobility
1032	Nobility
1033	Government
1033	Nobility
1035	Government
1036	Government
1038	Elite
1038	Government
1039	Military
1039	Nobility
1041	Government
1044	Elite
1045	Government
1048	Government
1049	Government
1051	Military
1053	Government
1053	Elite
1054	Government
1056	Government
1058	Government
1059	Military
1060	Government
1060	Court
1061	Government
1063	Court
1065	Nobility
1065	Elite
1066	Military
1066	Government
1067	Court
1067	Military
1067	Nobility
1067	Elite
1070	Government
1072	Government
1074	Court
1074	Government
1077	Nobility
1077	Government
1077	Military
1077	Elite
1078	Elite
1081	Elite
1082	Court
1085	Court
1085	Nobility
1086	Government
1087	Military
1087	Nobility
1088	Elite
1089	Elite
1090	Elite
1090	Nobility
1090	Court
1090	Military
1093	Nobility
1093	Government
1093	Elite
1096	Court
1097	Nobility
1098	Government
1098	Nobility
1099	Court
1101	Nobility
1101	Military
1102	Nobility
1109	Court
1110	Government
1110	Nobility
1111	Nobility
1113	Government
1115	Court
1116	Military
1116	Nobility
1116	Elite
1117	Government
1117	Nobility
1117	Elite
1118	Government
1119	Government
1119	Nobility
1119	Elite
1120	Government
1122	Nobility
1122	Elite
1124	Elite
1126	Military
1126	Government
1127	Nobility
1128	Government
1128	Court
1131	Nobility
1131	Government
1133	Government
1134	Government
1134	Military
1135	Government
1136	Government
1138	Elite
1138	Military
1138	Government
1138	Court
1139	Military
1139	Government
1139	Elite
1139	Nobility
1139	Court
1140	Elite
1140	Court
1140	Nobility
1140	Government
1140	Military
1143	Nobility
1143	Elite
1148	Military
1148	Court
1150	Government
1150	Court
1150	Elite
1151	Government
1152	Nobility
1152	Elite
1152	Nobility
1154	Elite
1155	Elite
1155	Government
1155	Nobility
1156	Court
1156	Government
1157	Court
1158	Government
1158	Nobility
1159	Elite
1159	Nobility
1160	Government
1160	Elite
1161	Nobility
1161	Government
1161	Elite
1162	Nobility
1162	Elite
1163	Military
1163	Elite
1163	Nobility
1164	Elite
1164	Nobility
1165	Government
1165	Nobility
1165	Elite
1167	Elite
1167	Nobility
1169	Nobility
1169	Elite
1169	Military
1170	Nobility
1170	Elite
1170	Government
1171	Elite
1171	Nobility
1172	Nobility
1172	Government
1172	Elite
1173	Elite
1173	Nobility
1174	Elite
1174	Nobility
1181	Government
1181	Elite
1181	Nobility
1183	Nobility
1183	Government
1184	Nobility
1185	Military
1185	Nobility
1185	Elite
1185	Court
1188	Elite
1188	Court
1189	Elite
1189	Nobility
1189	Court
1190	Elite
1190	Nobility
1190	Court
1191	Elite
1191	Nobility
1191	Court
1191	Government
1192	Elite
1192	Nobility
1192	Court
1193	Elite
1193	Court
1193	Government
1194	Elite
1194	Nobility
1194	Court
1202	Elite
1202	Government
1202	Military
1202	Court
1203	Nobility
1203	Military
1204	Nobility
1204	Elite
1205	Nobility
1206	Elite
1207	Elite
1208	Elite
1208	Government
1208	Nobility
1209	Elite
1209	Government
1209	Nobility
1209	Military
1210	Nobility
1210	Elite
1211	Elite
1211	Government
1211	Nobility
1212	Elite
1212	Government
1212	Nobility
1213	Nobility
1213	Elite
1214	Elite
1215	Nobility
1215	Elite
1215	Court
1216	Military
1216	Court
1217	Nobility
1217	Elite
1218	Elite
1218	Court
1219	Elite
1219	Court
1220	Court
1221	Court
1222	Nobility
1222	Elite
1222	Court
1222	Military
1222	Government
1223	Elite
1223	Government
1223	Nobility
1223	Military
1224	Nobility
1224	Elite
1225	Nobility
1225	Elite
1227	Elite
1227	Government
1227	Nobility
1228	Government
1228	Elite
1231	Court
1231	Elite
1232	Government
1232	Military
1232	Elite
1232	Nobility
1232	Court
1233	Nobility
1233	Elite
1234	Nobility
1235	Elite
1236	Government
1236	Elite
1236	Military
1237	Nobility
1237	Elite
1237	Court
1239	Nobility
1239	Elite
1239	Government
1240	Nobility
1240	Elite
1241	Nobility
1241	Elite
1241	Government
1241	Military
1241	Court
1243	Nobility
1243	Elite
1243	Court
1244	Nobility
1244	Elite
1244	Court
1246	Nobility
1247	Court
1248	Elite
1249	Court
1250	Nobility
1250	Elite
1250	Court
1254	Elite
1254	Nobility
1254	Court
1257	Elite
1257	Court
1257	Government
1258	Nobility
1258	Elite
1258	Court
1259	Military
1259	Government
1260	Nobility
1260	Elite
1262	Elite
1262	Government
1262	Nobility
1263	Government
1265	Nobility
1265	Elite
1265	Government
1266	Nobility
1266	Elite
1266	Military
1268	Nobility
1268	Court
1268	Elite
1271	Nobility
1271	Government
1271	Elite
1272	Nobility
1272	Court
1272	Elite
1273	Nobility
1273	Court
1273	Elite
1274	Court
1277	Elite
1277	Government
1278	Elite
1278	Nobility
1279	Elite
1279	Nobility
1281	Elite
1283	Nobility
1283	Elite
1284	Nobility
1284	Elite
1284	Court
1285	Court
1286	Elite
1286	Government
1286	Nobility
1287	Nobility
1287	Elite
1288	Elite
1288	Nobility
1289	Nobility
1289	Government
1289	Elite
1291	Elite
1291	Nobility
1292	Nobility
1292	Elite
1294	Elite
1294	Nobility
1295	Elite
1295	Government
1295	Nobility
1297	Military
1297	Nobility
1297	Elite
1300	Military
1300	Nobility
1302	Nobility
1303	Nobility
1305	Nobility
1311	Nobility
1311	Elite
1313	Nobility
1313	Elite
1314	Nobility
1314	Elite
1315	Nobility
1315	Elite
1316	Nobility
1316	Elite
1317	Court
1319	Elite
1319	Nobility
1319	Court
1320	Elite
1320	Nobility
1320	Court
1321	Military
1321	Nobility
1322	Elite
1323	Elite
1323	Nobility
1323	Military
1324	Elite
1324	Nobility
1324	Military
1326	Nobility
1331	Government
1335	Nobility
1335	Elite
1336	Military
1336	Elite
1336	Nobility
1337	Nobility
1337	Elite
1338	Artist
1339	Nobility
1339	Government
1339	Elite
1340	Nobility
1340	Government
1340	Elite
1344	Government
1344	Elite
1344	Military
1344	Nobility
1344	Court
1345	Government
1345	Elite
1346	Elite
1347	Nobility
1347	Elite
1347	Court
1348	Elite
1348	Government
1349	Elite
1349	Government
1349	Nobility
1350	Nobility
1350	Elite
1350	Military
1351	Government
1352	Court
1353	Elite
1353	Military
1353	Nobility
1356	Nobility
1356	Elite
1356	Government
1357	Government
1358	Military
1360	Government
1362	Elite
1362	Military
1362	Nobility
1363	Government
1364	Nobility
1364	Elite
1365	Elite
1365	Nobility
1366	Nobility
1366	Government
1366	Military
1366	Elite
1367	Elite
1368	Nobility
1369	Nobility
1369	Government
1369	Military
1369	Elite
1370	Nobility
1370	Government
1370	Military
1370	Elite
1372	Elite
1374	Court
1376	Elite
1376	Nobility
1377	Elite
1377	Nobility
1378	Elite
1378	Nobility
1379	Elite
1380	Elite
1380	Nobility
1381	Elite
1382	Elite
1383	Elite
1383	Nobility
1384	Elite
1384	Nobility
1384	Court
1385	Elite
1385	Nobility
1386	Elite
1386	Nobility
1387	Elite
1388	Elite
1388	Nobility
1389	Elite
1389	Nobility
1390	Elite
1390	Nobility
1391	Elite
1391	Nobility
1392	Elite
1392	Nobility
1393	Elite
1393	Nobility
1394	Elite
1394	Nobility
1397	Elite
1397	Nobility
1402	Nobility
1402	Elite
1402	Military
1402	Government
1409	Nobility
1409	Elite
1410	Nobility
1410	Elite
1413	Government
1413	Military
1413	Nobility
1413	Elite
1414	Government
1414	Military
1414	Nobility
1414	Elite
1415	Government
1415	Nobility
1415	Elite
1416	Military
1416	Nobility
1418	Elite
1418	Nobility
1418	Military
1419	Military
1419	Nobility
1419	Elite
1420	Military
1420	Nobility
1420	Elite
1422	Nobility
1422	Elite
1422	Military
1423	Elite
1424	Elite
1425	Court
1426	Nobility
1426	Government
1426	Elite
1427	Elite
1427	Nobility
1428	Nobility
1428	Elite
1428	Government
1428	Military
1429	Government
1429	Elite
1429	Nobility
1430	Nobility
1430	Elite
1431	Government
1432	Elite
1432	Military
1432	Nobility
1433	Elite
1434	Military
1434	Government
1435	Nobility
1435	Elite
1435	Government
1436	Nobility
1437	Nobility
1437	Elite
1437	Military
1438	Nobility
1438	Elite
1439	Nobility
1440	Nobility
1441	Nobility
1442	Nobility
1442	Elite
1442	Military
1442	Government
1443	Nobility
1443	Elite
1443	Military
1444	Nobility
1444	Elite
1444	Court
1444	Government
1445	Nobility
1445	Government
1445	Elite
1446	Elite
1447	Elite
1447	Government
1449	Government
1449	Nobility
1449	Elite
1450	Nobility
1450	Military
1450	Elite
1450	Government
1452	Nobility
1452	Elite
1453	Nobility
1453	Elite
1454	Elite
1454	Nobility
1455	Nobility
1455	Elite
1456	Nobility
1456	Elite
1456	Court
1457	Government
1458	Government
1460	Government
1460	Elite
1460	Nobility
1462	Elite
1462	Government
1463	Elite
1464	Nobility
1464	Elite
1466	Nobility
1466	Elite
1466	Court
1468	Elite
1468	Government
1469	Government
1470	Nobility
1470	Elite
1470	Court
1471	Nobility
1471	Elite
1471	Court
1472	Elite
1472	Nobility
1473	Elite
