SP ID	Source
1000	EE
1001	EE
1002	EE
1003	EE
1003	CNRS-D
1004	EE
1004	CNRS-D
1004	Kafker
1005	EE
1006	EE
1007	EE
1008	SP
1009	SP
1010	SP
1011	SP
1012	SP
1013	SP
1014	SP
1015	EE
1015	CNRS-D
1016	EE
1017	EE
1018	EE
1019	EE
1019	CNRS-D
1020	EE
1021	EE
1022	EE
1023	EE
1024	EE
1025	EE
1026	EE
1026	CNRS-D
1026	Kafker
1027	EE
1028	EE
1029	EE
1030	EE
1030	CNRS-D
1030	Kafker
1031	EE
1032	EE
1033	Kafker
1034	Kafker
1035	Kafker
1036	Kafker
1037	Kafker
1038	Kafker
1039	Kafker
1040	Kafker
1041	Kafker
1042	Kafker
1042	Geoffrin
1043	Kafker
1044	Kafker
1045	Kafker
1046	Kafker
1047	Kafker
1048	Kafker
1049	Kafker
1050	Kafker
1051	Kafker
1052	Kafker
1053	Kafker
1054	Kafker
1055	Kafker
1056	Kafker
1057	Kafker
1058	Kafker
1059	Kafker
1060	Kafker
1061	Kafker
1062	Kafker
1063	Kafker
1064	Kafker
1065	Kafker
1066	Kafker
1067	Kafker
1068	Kafker
1069	Kafker
1070	Kafker
1071	Kafker
1072	Kafker
1073	Kafker
1074	Kafker
1075	Kafker
1076	Kafker
1077	Kafker
1078	Kafker
1079	Kafker
1080	Kafker
1081	Kafker
1082	Kafker
1083	Kafker
1084	Kafker
1085	Kafker
1086	Kafker
1087	Kafker
1088	Kafker
1089	Kafker
1090	Kafker
1091	Kafker
1092	Kafker
1093	Kafker
1094	Kafker
1095	Kafker
1096	Kafker
1097	Kafker
1098	Kafker
1099	Kafker
1100	Kafker
1101	Kafker
1102	Kafker
1103	Kafker
1104	Kafker
1105	Kafker
1106	Kafker
1107	Kafker
1108	Kafker
1109	Kafker
1110	Kafker
1111	Kafker
1112	Kafker
1113	EE
1113	Kafker
1114	EE
1114	Kafker
1115	EE
1115	CNRS-D
1115	Kafker
1116	EE
1116	CNRS-D
1116	Kafker
1117	EE
1117	CNRS-D
1117	Kafker
1118	CNRS-D
1118	Kafker
1119	EE
1119	Kafker
1120	EE
1120	CNRS-D
1120	Kafker
1121	EE
1121	Kafker
1122	EE
1122	Kafker
1123	EE
1123	Kafker
1124	EE
1124	CNRS-D
1124	Kafker
1125	EE
1125	Kafker
1126	EE
1126	CNRS-D
1126	Kafker
1127	EE
1127	CNRS-D
