SP ID	Source	EgoNetworksCombined	Wikipedia URL	EE ID	Full Name	Full Name Reversed	Particule?	Occupation	Political rank	Military rank	Relationships	Aristo title	Clerical title	Knowledge Network	Social Network	Professional Network	Religious Network	Academies	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Salons	Encyclopedistes	Freemason	Jacobin	Société des Trente	Lodge	GenderGroup	Nationality	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet	Column6	Wikipedia Image Link	VIAF ID	VIAF URL	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID
1000	EE	Arnould	http://en.wikipedia.org/wiki/Pierre_Beaumarchais	caronpierr000543	Pierre Augustin Caron de Beaumarchais	"Caron de Beaumarchais, Pierre Augustin"	Yes	"playwright,government agent"						Letters_Literary	"Government, Elite, Court"	Cultural							Arnould						Male	French	1/24/1732	1732	5/18/1799	1799	Paris	France	Paris	France	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/a/ae/D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg/250px-D%27apr%C3%A8s_Jean-Marc_Nattier%2C_Portrait_de_Pierre-Augustin_Caron_de_Beaumarchais_%28Biblioth%C3%A8que-mus%C3%A9e_de_la_Com%C3%A9die-Fran%C3%A7aise%29_-001.jpg	29529962	http://viaf.org/29529962	0	0	0	
1001	EE	"Voltaire, Arnould"	http://en.wikipedia.org/wiki/Claude_Joseph_Dorat	doratclaud001336	Claude Joseph Dorat	"Dorat, Claude Joseph"		"poet,author,playwright"						Letters_Literary	"Military, Aristoracy, Elite"	"Artist, Cultural"							Arnould						Male	French	12/31/1734	1734	4/29/1780	1780	Paris	France		unknown	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg/115px-Dorat_les_Pr%C3%B4neurs_ou_le_Tartuffe_litt%C3%A9raire_frontispice_EO_Delalain_1777.jpg	46760144	http://viaf.org/46760144	8	4	12	
1002	EE	"Voltaire, Rousseau, Arnould"	http://en.wikipedia.org/wiki/Claude-Carloman_de_Rulhière	rulhiclaud001189	Claude Carloman de Rulhière	"Rulhière, Claude Carloman de"	Yes	"army officer,diplomat,soldier,academy member,author"	diplomat	officer				Letters_Literary	"Military, Government, Aristoracy, Elite"			French Academy	Yes		Yes		Arnould						Male	French	6/12/1735	1735	1/30/1791	1791		France		unknown	 	 	Voltaire	Rousseau	 	 	 			59160459	http://viaf.org/59160459	2	3	5	
1003	"EE, CNRS-D"	"Voltaire, Arnould"	http://en.wikipedia.org/wiki/Simon-Nicholas_Henri_Linguet	lingusimon002350	Simon Nicolas Henri Linguet	"Linguet, Simon Nicolas Henri"		"journalist,revolutionary"						Political Economy	Elite	"Cultural, Legal"							Arnould						Male	French	7/14/1736	1736	6/27/1794	1794	Reims	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/2/29/Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg/220px-Simon-Nicholas_Henri_Linguet_%281736-1794%29%2C_French_journalist_and_advocate.jpg	7393445	http://viaf.org/7393445	4	4	8	Linguet
1004	"EE, CNRS-D, Kafker"	"Voltaire, D'Alembert, Hume, Voltaire, Arnould, Epinay, Quinault, Dupin, Boufflers, Necker, Holbach, Encyclopedistes"	http://en.wikipedia.org/wiki/Jean-Jacques_Rousseau	roussjeanj003042	Jean-Jacques Rousseau	"Rousseau, Jean Jacques"		"author,philosopher"						"Letters_Philosophical, Letters_Literary"	Elite								"Arnould, Epinay, Quinault, Dupin, Boufflers, Necker, Holbach"	Yes					Male	Swiss	-68485	1712	7/2/1778	1778	Geneva	Switzerland	Ermenonville	France	 	 	Voltaire	 	D'Alembert	Hume	 		upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Jean-Jacques_Rousseau_%28painted_portrait%29.jpg/220px-Jean-Jacques_Rousseau_%28painted_portrait%29.jpg	100184045	http://viaf.org/100184045	2455	2284	4739	Rousseau J.-J.
1005	EE	"Voltaire, Arnould"	http://en.wikipedia.org/wiki/Louis_Petit_de_Bachaumont	petitlouis001155	Louis Petit de Bachaumont	"Petit de Bachaumont, Louis"	Yes	author						Letters_Literary	"Nobility, Elite"								Arnould						Male	French	6/2/1690	1690	4/29/1771	1771	Paris	France	Paris	France	 	 	Voltaire	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Bachaumont.jpg/220px-Bachaumont.jpg	29558790	http://viaf.org/29558790	1	0	1	
1006	EE	Arnould	http://en.wikipedia.org/wiki/Christoph_Willibald_Gluck	gluckchris024379	Christoph Willibald von Gluck	"Gluck, Christoph Willibald von"		composer							"Nobility, Elite"	Artist							Arnould						Male	German	7/2/1714	1714	11/15/1787	1787	Erasbach	Germany	Vienna	Austria	 	 	 	 	 	 	 		upload.wikimedia.org/wikipedia/commons/thumb/8/80/Joseph-Sifr%C3%A8de_Duplessis_001.jpg/220px-Joseph-Sifr%C3%A8de_Duplessis_001.jpg	37101876	http://viaf.org/37101876	0	0	0	
1007	EE	"Voltaire, Geoffrin"	http://en.wikipedia.org/wiki/Henri_François_d'Aguesseau	daguehenri000832	Henri François D'Aguesseau	"D'Aguesseau, Henri François"		statesman	minister						"Elite, Government, Nobility"			Académie des sciences	Yes		Yes		"Bolingbroke, Geoffrin"						Male	French	11/27/1668	1668	2/5/1751	1751	Limoges	France	Paris	France	 	 	Voltaire	 	 	 	 		http://upload.wikimedia.org/wikipedia/commons/7/7e/Henri_Fran%C3%A7ois_d%27Aguesseau.jpg	73848894	http://viaf.org/73848894	2	4	6	
1008	SP	Boufflers	http://en.wikipedia.org/wiki/Marie_Anne_de_Bourbon		Marie Anne de Bourbon	"Bourbon, Marie Anne de"	Yes	aristocrat							"Nobility, Elite, Court"								Boufflers						Female	French	1666-10-02		1739-05-03	1739	Château de Vincennes	France	Paris	France															
1009	SP	Lambert	http://en.wikipedia.org/wiki/index.html?curid=16372248		Johann Samuel König	"König, Johann Samuel "								Sciences_Mathematical	Elite	Education		Académie des sciences	Yes		Yes		Chatelet_Lambert						Male	German	1712-07-31	1712	1757-08-21	1757	Büdingen	Germany												66494565	https://viaf.org/viaf/66494565/				
